"filename", "language", "YAML", "Dart", "Markdown", "CSS", "JavaScript", "JSON", "Swift", "C++", "HTML", "XML", "Properties", "Groovy", "comment", "blank", "total"
"c:\Users\oguzk\Documents\GitHub\Petilla\lib\core\base\state\base_state.dart", "Dart", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"c:\Users\oguzk\Documents\GitHub\Petilla\lib\core\base\view\base_view.dart", "Dart", 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 45
"c:\Users\oguzk\Documents\GitHub\Petilla\lib\core\base\view\profile_view.dart", "Dart", 0, 212, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 25, 238
"c:\Users\oguzk\Documents\GitHub\Petilla\lib\core\base\view\status_view.dart", "Dart", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 31
"c:\Users\oguzk\Documents\GitHub\Petilla\lib\core\base\viewmodel\profile_view_view_model.dart", "Dart", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 35
"c:\Users\oguzk\Documents\GitHub\Petilla\lib\core\base\viewmodel\profile_view_view_model.g.dart", "Dart", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 8, 27
"c:\Users\oguzk\Documents\GitHub\Petilla\lib\core\components\banner_ad_widget.dart", "Dart", 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 36
"c:\Users\oguzk\Documents\GitHub\Petilla\lib\core\components\buttons\auth_button.dart", "Dart", 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 39
"c:\Users\oguzk\Documents\GitHub\Petilla\lib\core\components\buttons\button.dart", "Dart", 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 51
"c:\Users\oguzk\Documents\GitHub\Petilla\lib\core\components\dialogs\default_dialog.dart", "Dart", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 16
"c:\Users\oguzk\Documents\GitHub\Petilla\lib\core\components\dialogs\error_dialog.dart", "Dart", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 22
"c:\Users\oguzk\Documents\GitHub\Petilla\lib\core\components\image_component.dart", "Dart", 0, 136, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 149
"c:\Users\oguzk\Documents\GitHub\Petilla\lib\core\components\single_message.dart", "Dart", 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 41
"c:\Users\oguzk\Documents\GitHub\Petilla\lib\core\components\textfields\auth_textfield.dart", "Dart", 0, 106, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10, 117
