"filename", "language", "YAML", "JSON", "Shell Script", "Markdown", "Dart", "comment", "blank", "total"
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\constant\other_constant\icon_names.dart", "Dart", 0, 0, 0, 0, -28, 0, -2, -30
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\constant\sizes_constant\app_sized_box.dart", "Dart", 0, 0, 0, 0, -7, 0, -2, -9
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\constant\sizes_constant\project_button_sizes.dart", "Dart", 0, 0, 0, 0, -4, 0, -1, -5
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\constant\sizes_constant\project_card_sizes.dart", "Dart", 0, 0, 0, 0, -8, 0, -1, -9
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\constant\sizes_constant\project_icon_sizes.dart", "Dart", 0, 0, 0, 0, -5, 0, -1, -6
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\constant\sizes_constant\project_padding.dart", "Dart", 0, 0, 0, 0, -9, 0, -2, -11
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\constant\sizes_constant\project_radius.dart", "Dart", 0, 0, 0, 0, -6, 0, -2, -8
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\constant\strings_constant\app_firestore_field_names.dart", "Dart", 0, 0, 0, 0, -27, 0, -1, -28
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\constant\strings_constant\locale_constants.dart", "Dart", 0, 0, 0, 0, -3, 0, -1, -4
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\constant\strings_constant\project_firestore_collection_names.dart", "Dart", 0, 0, 0, 0, -6, -2, -2, -10
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\constant\strings_constant\project_lottie_urls.dart", "Dart", 0, 0, 0, 0, -7, 0, -1, -8
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\constant\strings_constant\shared_preferences_key_constants.dart", "Dart", 0, 0, 0, 0, -3, 0, -1, -4
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\core\base\state\base_state.dart", "Dart", 0, 0, 0, 0, 6, 0, 2, 8
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\core\base\view\profile_view.dart", "Dart", 0, 0, 0, 0, 114, 0, 14, 128
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\core\base\view\status_view.dart", "Dart", 0, 0, 0, 0, 31, 0, 5, 36
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\core\base\viewmodel\profile_view_model.dart", "Dart", 0, 0, 0, 0, 16, 0, 2, 18
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\core\components\button.dart", "Dart", 0, 0, 0, 0, 45, 0, 6, 51
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\core\components\dialogs\default_dialog.dart", "Dart", 0, 0, 0, 0, 14, 0, 2, 16
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\core\components\dialogs\error_dialog.dart", "Dart", 0, 0, 0, 0, 19, 0, 3, 22
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\core\components\single_message.dart", "Dart", 0, 0, 0, 0, 36, 0, 5, 41
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\core\components\textfields\auth_textfield.dart", "Dart", 0, 0, 0, 0, 77, 0, 9, 86
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\core\components\textfields\main_textfield.dart", "Dart", 0, 0, 0, 0, 62, 0, 4, 66
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\core\constants\app\app_constants.dart", "Dart", 0, 0, 0, 0, 3, 1, 2, 6
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\core\constants\enums\file_type_enum.dart", "Dart", 0, 0, 0, 0, 11, 1, 2, 14
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\core\constants\enums\locale_keys_enum.dart", "Dart", 0, 0, 0, 0, 1, 1, 2, 4
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\core\constants\enums\status_keys_enum.dart", "Dart", 0, 0, 0, 0, 6, 1, 2, 9
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\core\constants\image\image_constants.dart", "Dart", 0, 0, 0, 0, 19, 0, 4, 23
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\core\constants\other_constant\icon_names.dart", "Dart", 0, 0, 0, 0, 28, 0, 2, 30
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\core\constants\sizes_constant\app_sized_box.dart", "Dart", 0, 0, 0, 0, 7, 0, 2, 9
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\core\constants\sizes_constant\project_button_sizes.dart", "Dart", 0, 0, 0, 0, 4, 0, 1, 5
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\core\constants\sizes_constant\project_card_sizes.dart", "Dart", 0, 0, 0, 0, 8, 0, 1, 9
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\core\constants\sizes_constant\project_icon_sizes.dart", "Dart", 0, 0, 0, 0, 5, 0, 1, 6
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\core\constants\sizes_constant\project_padding.dart", "Dart", 0, 0, 0, 0, 9, 0, 2, 11
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\core\constants\sizes_constant\project_radius.dart", "Dart", 0, 0, 0, 0, 6, 0, 2, 8
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\core\constants\string_constant\app_firestore_field_names.dart", "Dart", 0, 0, 0, 0, 27, 0, 1, 28
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\core\constants\string_constant\path_constants.dart", "Dart", 0, 0, 0, 0, 3, 0, 1, 4
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\core\constants\string_constant\project_firestore_collection_names.dart", "Dart", 0, 0, 0, 0, 6, 2, 2, 10
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\core\constants\string_constant\project_lottie_urls.dart", "Dart", 0, 0, 0, 0, 8, 0, 1, 9
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\core\extension\string_lang_extension.dart", "Dart", 0, 0, 0, 0, 4, 0, 2, 6
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\core\init\cache\locale_manager.dart", "Dart", 0, 0, 0, 0, 19, 1, 6, 26
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\core\init\lang\language_manager.dart", "Dart", 0, 0, 0, 0, 11, 0, 5, 16
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\core\init\lang\locale_keys.g.dart", "Dart", 0, 0, 0, 0, 75, 1, 2, 78
