"filename", "language", "YAML", "XML", "Dart", "JSON", "HTML", "Shell Script", "Markdown", "Groovy", "Properties", "C++", "Swift", "comment", "blank", "total"
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\core\components\button.dart", "Dart", 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 51
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\core\components\dialogs\default_dialog.dart", "Dart", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 16
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\core\components\dialogs\error_dialog.dart", "Dart", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 22
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\core\components\single_message.dart", "Dart", 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 41
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\core\components\textfields\auth_textfield.dart", "Dart", 0, 0, 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 86
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\core\components\textfields\main_textfield.dart", "Dart", 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 66
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\core\constants\app\app_constants.dart", "Dart", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 6
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\core\constants\enums\file_type_enum.dart", "Dart", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 14
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\core\constants\enums\locale_keys_enum.dart", "Dart", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 4
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\core\constants\enums\status_keys_enum.dart", "Dart", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 9
