"filename", "language", "YAML", "Dart", "comment", "blank", "total"
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\view\apps\main_petilla\view\main_petilla.dart", "Dart", 0, 89, 0, 15, 104
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\view\apps\main_petilla\view\other_profile_view.dart", "Dart", 0, 93, 1, 15, 109
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\view\apps\main_petilla\view\petilla_detail_view.dart", "Dart", 0, 197, 0, 27, 224
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\view\apps\main_petilla\view\petilla_home_view.dart", "Dart", 0, 390, 0, 34, 424
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\view\apps\main_petilla\view\petilla_insert_view.dart", "Dart", 0, 101, 0, 15, 116
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\view\apps\main_petilla\viewmodel\add_view_two_view_model.dart", "Dart", 0, 65, 1, 7, 73
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\view\apps\main_petilla\viewmodel\add_view_two_view_model.g.dart", "Dart", 0, 44, 5, 8, 57
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\view\apps\main_petilla\viewmodel\add_view_view_model.dart", "Dart", 0, 51, 1, 13, 65
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\view\apps\main_petilla\viewmodel\add_view_view_model.g.dart", "Dart", 0, 61, 5, 17, 83
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\view\apps\main_petilla\viewmodel\chat_select_view_model.dart", "Dart", 0, 51, 1, 8, 60
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\view\apps\main_petilla\viewmodel\chat_select_view_model.g.dart", "Dart", 0, 38, 5, 9, 52
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\view\apps\main_petilla\viewmodel\favorites_view_view_model.dart", "Dart", 0, 30, 1, 11, 42
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\view\apps\main_petilla\viewmodel\favorites_view_view_model.g.dart", "Dart", 0, 56, 5, 16, 77
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\view\apps\main_petilla\viewmodel\in_chat_view_view_model.dart", "Dart", 0, 36, 1, 7, 44
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\view\apps\main_petilla\viewmodel\in_chat_view_view_model.g.dart", "Dart", 0, 28, 5, 8, 41
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\view\apps\main_petilla\viewmodel\main_petilla_view_model.dart", "Dart", 0, 13, 1, 6, 20
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\view\apps\main_petilla\viewmodel\main_petilla_view_model.g.dart", "Dart", 0, 8, 5, 6, 19
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\view\apps\main_petilla\viewmodel\other_profile_view_view_model.dart", "Dart", 0, 13, 1, 6, 20
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\view\apps\main_petilla\viewmodel\other_profile_view_view_model.g.dart", "Dart", 0, 8, 5, 6, 19
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\view\apps\main_petilla\viewmodel\petilla_detail_view_view_model.dart", "Dart", 0, 49, 1, 12, 62
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\view\apps\main_petilla\viewmodel\petilla_detail_view_view_model.g.dart", "Dart", 0, 60, 5, 18, 83
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\view\apps\pet_form\main_pet_form.dart", "Dart", 0, 9, 0, 3, 12
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\view\apps\pet_form\service\group_message_service.dart", "Dart", 0, 17, 0, 2, 19
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\view\apps\pet_form\view\group_template_view.dart", "Dart", 0, 183, 0, 23, 206
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\view\apps\pet_form\view\petform_home_view.dart", "Dart", 0, 139, 1, 18, 158
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\view\apps\pet_form\viewmodel\group_template_view_model.dart", "Dart", 0, 27, 1, 8, 36
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\view\apps\pet_form\viewmodel\group_template_view_model.g.dart", "Dart", 0, 30, 5, 9, 44
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\view\apps\pet_form\viewmodel\petform_home_view_model.dart", "Dart", 0, 34, 0, 6, 40
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\view\apps\pet_form\viewmodel\petform_home_view_model.g.dart", "Dart", 0, 22, 5, 8, 35
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\view\auth\onboard\view\onboarding.dart", "Dart", 0, 137, 3, 20, 160
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\view\auth\onboard\view\onboarding_one_view.dart", "Dart", 0, 40, 1, 6, 47
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\view\auth\onboard\view\onboarding_three_view.dart", "Dart", 0, 40, 1, 7, 48
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\view\auth\onboard\view\onboarding_two_view.dart", "Dart", 0, 40, 1, 7, 48
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\view\auth\onboard\viewmodel\onboarding_view_model.dart", "Dart", 0, 14, 0, 2, 16
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\view\auth\service\auth_service.dart", "Dart", 0, 40, 0, 6, 46
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\view\auth\view\login_view.dart", "Dart", 0, 126, 1, 17, 144
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\view\auth\view\register_view.dart", "Dart", 0, 137, 1, 20, 158
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\view\auth\viewmodel\login_view_model.dart", "Dart", 0, 22, 0, 2, 24
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\view\auth\viewmodel\register_view_model.dart", "Dart", 0, 23, 0, 2, 25
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\view\start\core\components\select_app_widget.dart", "Dart", 0, 60, 0, 7, 67
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\view\start\view\select_app_view.dart", "Dart", 0, 105, 0, 13, 118
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\view\start\viewmodel\select_app_view_model.dart", "Dart", 0, 0, 0, 2, 2
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\pubspec.yaml", "YAML", 2, 0, 0, 1, 3
"Total", "-", 2, 731, 64, 202, 999
