"filename", "language", "YAML", "Dart", "JSON", "XML", "comment", "blank", "total"
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\view\apps\main_petilla\viewmodel\petilla_detail_view_view_model.g.dart", "Dart", 0, -60, 0, 0, -5, -18, -83
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\view\apps\pet_form\main_pet_form.dart", "Dart", 0, -9, 0, 0, 0, -3, -12
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\view\apps\pet_form\service\group_message_service.dart", "Dart", 0, -17, 0, 0, 0, -2, -19
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\view\apps\pet_form\view\group_template_view.dart", "Dart", 0, -183, 0, 0, 0, -23, -206
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\view\apps\pet_form\view\petform_home_view.dart", "Dart", 0, -139, 0, 0, -1, -18, -158
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\view\apps\pet_form\viewmodel\group_template_view_model.dart", "Dart", 0, -27, 0, 0, -1, -8, -36
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\view\apps\pet_form\viewmodel\group_template_view_model.g.dart", "Dart", 0, -30, 0, 0, -5, -9, -44
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\view\apps\pet_form\viewmodel\petform_home_view_model.dart", "Dart", 0, -34, 0, 0, 0, -6, -40
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\view\apps\pet_form\viewmodel\petform_home_view_model.g.dart", "Dart", 0, -22, 0, 0, -5, -8, -35
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\view\auth\onboard\view\onboarding.dart", "Dart", 0, -137, 0, 0, -3, -20, -160
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\view\auth\onboard\view\onboarding_one_view.dart", "Dart", 0, -40, 0, 0, -1, -6, -47
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\view\auth\onboard\view\onboarding_three_view.dart", "Dart", 0, -40, 0, 0, -1, -7, -48
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\view\auth\onboard\view\onboarding_two_view.dart", "Dart", 0, -40, 0, 0, -1, -7, -48
