"filename", "language", "YAML", "Dart", "JSON", "comment", "blank", "total"
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\start\onboarding\onboarding_views\onboarding_one\onboarding_one_view.dart", "Dart", 0, 39, 0, 1, 6, 46
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\start\onboarding\onboarding_views\onboarding_one\onboarding_one_view_model.dart", "Dart", 0, 0, 0, 0, 2, 2
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\start\onboarding\onboarding_views\onboarding_three\onboarding_three_view.dart", "Dart", 0, 39, 0, 1, 7, 47
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\start\onboarding\onboarding_views\onboarding_three\onboarding_three_view_model.dart", "Dart", 0, 0, 0, 0, 1, 1
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\start\onboarding\onboarding_views\onboarding_two\onboarding_two_view.dart", "Dart", 0, 39, 0, 1, 7, 47
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\start\onboarding\onboarding_views\onboarding_two\onboarding_two_view_model.dart", "Dart", 0, 0, 0, 0, 2, 2
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\start\select_app_view.dart", "Dart", 0, -109, 0, 0, -13, -122
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\start\select_app_view\select_app_view.dart", "Dart", 0, 109, 0, 0, 13, 122
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\start\select_app_view\select_app_view_model.dart", "Dart", 0, 0, 0, 0, 2, 2
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\start\select_app_view\select_app_widgets\select_app_widget.dart", "Dart", 0, 64, 0, 0, 7, 71
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\theme\light_theme\light_theme.dart", "Dart", 0, 0, 0, 0, 1, 1
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\utility\widget_utility\fav_button_service.dart", "Dart", 0, 43, 0, 0, 5, 48
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\pubspec.yaml", "YAML", -1, 0, 0, 6, 1, 6
"Total", "-", -1, 360, 1, 7, 68, 435
