"filename", "language", "YAML", "Dart", "Markdown", "JSON", "Groovy", "HTML", "XML", "C++", "Swift", "Properties", "comment", "blank", "total"
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\apps\main_petilla\petilla_main_view\main_view\favorites_view\favorites_view.dart", "Dart", 0, 110, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 125
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\apps\main_petilla\petilla_main_view\main_view\petilla_home_view\petilla_home_view.dart", "Dart", 0, 389, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 420
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\apps\main_petilla\petilla_main_view\main_view\petilla_home_view\petilla_home_view_model.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\apps\main_petilla\petilla_main_view\main_view\petilla_insert_view\petilla_insert_view.dart", "Dart", 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 112
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\apps\main_petilla\petilla_main_view\main_view\petilla_insert_view\petilla_insert_view_model.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\apps\main_petilla\petilla_main_view\main_view\petilla_main_chats\chat_select_view.dart", "Dart", 0, 115, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 127
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\apps\main_petilla\petilla_main_view\main_view\petilla_main_chats\in_chat_view.dart", "Dart", 0, 178, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 197
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\apps\main_petilla\petilla_main_view\other_view\petilla_detail_view\petilla_detail_view.dart", "Dart", 0, 197, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 228
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\apps\main_petilla\petilla_main_view\other_view\petilla_detail_view\petilla_detail_view_model.dart", "Dart", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\apps\main_petilla\petilla_main_view\petilla_main_widgets\chat_widgets\user_chat.dart", "Dart", 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 48
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\apps\main_petilla\petilla_main_view\petilla_main_widgets\pet_widgets\large_pet_widget.dart", "Dart", 0, 201, 0, 0, 0, 0, 0, 0, 0, 0, 1, 23, 225
