"filename", "language", "JSON", "XML", "HTML", "Dart", "Markdown", "YAML", "Groovy", "Properties", "C++", "Swift", "comment", "blank", "total"
"c:\Users\oguzk\Desktop\visual studio\patily\patily\lib\core\constants\string_constant\path_constants.dart", "Dart", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\oguzk\Desktop\visual studio\patily\patily\lib\core\constants\string_constant\project_firestore_collection_names.dart", "Dart", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 2, 2, 11
"c:\Users\oguzk\Desktop\visual studio\patily\patily\lib\core\constants\string_constant\project_lottie_urls.dart", "Dart", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\oguzk\Desktop\visual studio\patily\patily\lib\core\extension\string_lang_extension.dart", "Dart", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 2, 6
"c:\Users\oguzk\Desktop\visual studio\patily\patily\lib\core\init\cache\locale_manager.dart", "Dart", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 1, 6, 26
"c:\Users\oguzk\Desktop\visual studio\patily\patily\lib\core\init\google_ads\ads_state.dart", "Dart", 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 6, 39
"c:\Users\oguzk\Desktop\visual studio\patily\patily\lib\core\init\lang\language_manager.dart", "Dart", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 5, 16
"c:\Users\oguzk\Desktop\visual studio\patily\patily\lib\core\init\lang\locale_keys.g.dart", "Dart", 0, 0, 0, 86, 0, 0, 0, 0, 0, 0, 1, 2, 89
"c:\Users\oguzk\Desktop\visual studio\patily\patily\lib\core\init\router\app_router.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2
"c:\Users\oguzk\Desktop\visual studio\patily\patily\lib\core\init\theme\app_theme.dart", "Dart", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 2, 6
"c:\Users\oguzk\Desktop\visual studio\patily\patily\lib\core\init\theme\light_theme\light_theme.dart", "Dart", 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 6, 12, 78
"c:\Users\oguzk\Desktop\visual studio\patily\patily\lib\core\init\theme\light_theme\light_theme_colors.dart", "Dart", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 2, 17
"c:\Users\oguzk\Desktop\visual studio\patily\patily\lib\core\utility\asset_utils\compress_utils.dart", "Dart", 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 1, 9, 50
"c:\Users\oguzk\Desktop\visual studio\patily\patily\lib\core\utility\router\app_router.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2
"c:\Users\oguzk\Desktop\visual studio\patily\patily\lib\core\utility\widget_utility\fav_button_service.dart", "Dart", 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 5, 49
"c:\Users\oguzk\Desktop\visual studio\patily\patily\lib\main.dart", "Dart", 0, 0, 0, 64, 0, 0, 0, 0, 0, 0, 0, 8, 72
"c:\Users\oguzk\Desktop\visual studio\patily\patily\lib\view\admin\core\components\reported_pet_widget.dart", "Dart", 0, 0, 0, 75, 0, 0, 0, 0, 0, 0, 0, 7, 82
"c:\Users\oguzk\Desktop\visual studio\patily\patily\lib\view\admin\core\models\reported_pet_model.dart", "Dart", 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 2, 24
"c:\Users\oguzk\Desktop\visual studio\patily\patily\lib\view\admin\view\admin_home_view.dart", "Dart", 0, 0, 0, 76, 0, 0, 0, 0, 0, 0, 1, 12, 89
"c:\Users\oguzk\Desktop\visual studio\patily\patily\lib\view\admin\view\reported_pet_detail_view.dart", "Dart", 0, 0, 0, 110, 0, 0, 0, 0, 0, 0, 1, 13, 124
"c:\Users\oguzk\Desktop\visual studio\patily\patily\lib\view\admin\viewmodel\admin_home_view_view_model.dart", "Dart", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 1, 6, 20
"c:\Users\oguzk\Desktop\visual studio\patily\patily\lib\view\admin\viewmodel\admin_home_view_view_model.g.dart", "Dart", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 5, 6, 19
"c:\Users\oguzk\Desktop\visual studio\patily\patily\lib\view\admin\viewmodel\reported_pet_detail_view_view_model.dart", "Dart", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 1, 6, 20
"c:\Users\oguzk\Desktop\visual studio\patily\patily\lib\view\user\apps\animal_report\view\animal_report_home_view.dart", "Dart", 0, 0, 0, 307, 0, 0, 0, 0, 0, 0, 0, 30, 337
"c:\Users\oguzk\Desktop\visual studio\patily\patily\lib\view\user\apps\animal_report\view\main_animal_report.dart", "Dart", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 3, 12
"c:\Users\oguzk\Desktop\visual studio\patily\patily\lib\view\user\apps\animal_report\viewmodel\animal_report_home_view_view_model.dart", "Dart", 0, 0, 0, 79, 0, 0, 0, 0, 0, 0, 1, 15, 95
"c:\Users\oguzk\Desktop\visual studio\patily\patily\lib\view\user\apps\animal_report\viewmodel\animal_report_home_view_view_model.g.dart", "Dart", 0, 0, 0, 93, 0, 0, 0, 0, 0, 0, 5, 22, 120
"c:\Users\oguzk\Desktop\visual studio\patily\patily\lib\view\user\apps\patilla\core\components\chat_widgets\user_chat.dart", "Dart", 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 1, 6, 51
"c:\Users\oguzk\Desktop\visual studio\patily\patily\lib\view\user\apps\patilla\core\components\pet_widgets\large_pet_widget.dart", "Dart", 0, 0, 0, 198, 0, 0, 0, 0, 0, 0, 1, 23, 222
"c:\Users\oguzk\Desktop\visual studio\patily\patily\lib\view\user\apps\patilla\core\components\pet_widgets\normal_pet_widget.dart", "Dart", 0, 0, 0, 168, 0, 0, 0, 0, 0, 0, 1, 21, 190
"c:\Users\oguzk\Desktop\visual studio\patily\patily\lib\view\user\apps\patilla\service\chat_service\chat_service.dart", "Dart", 0, 0, 0, 67, 0, 0, 0, 0, 0, 0, 0, 4, 71
"c:\Users\oguzk\Desktop\visual studio\patily\patily\lib\view\user\apps\patilla\service\firebase_crud\crud_service.dart", "Dart", 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 1, 4, 41
"c:\Users\oguzk\Desktop\visual studio\patily\patily\lib\view\user\apps\patilla\service\models\jsons\city_model.dart", "Dart", 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 10, 46
"c:\Users\oguzk\Desktop\visual studio\patily\patily\lib\view\user\apps\patilla\service\models\pet_model.dart", "Dart", 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 2, 34
"c:\Users\oguzk\Desktop\visual studio\patily\patily\lib\view\user\apps\patilla\service\storage_service.dart\storage_crud.dart", "Dart", 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 5, 25
